,Network filename,N,NP,NN,PP,SM,SF,SF%,M,IF%
0,./data/networks/12_5.txt,12,5,1133,0.0,betweenness,5665,5%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.0,betweenness,5665,5%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.0,betweenness,11330,10%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.0,betweenness,11330,10%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.0,betweenness,28325,25%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.0,betweenness,28325,25%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.1,betweenness,5665,5%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.1,betweenness,5665,5%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.1,betweenness,11330,10%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.1,betweenness,11330,10%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.1,betweenness,28325,25%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.1,betweenness,28325,25%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.2,betweenness,5665,5%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.2,betweenness,5665,5%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.2,betweenness,11330,10%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.2,betweenness,11330,10%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.2,betweenness,28325,25%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.2,betweenness,28325,25%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.30000000000000004,betweenness,5665,5%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.30000000000000004,betweenness,5665,5%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.30000000000000004,betweenness,11330,10%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.30000000000000004,betweenness,11330,10%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.30000000000000004,betweenness,28325,25%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.30000000000000004,betweenness,28325,25%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.4,betweenness,5665,5%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.4,betweenness,5665,5%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.4,betweenness,11330,10%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.4,betweenness,11330,10%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.4,betweenness,28325,25%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.4,betweenness,28325,25%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.5,betweenness,5665,5%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.5,betweenness,5665,5%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.5,betweenness,11330,10%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.5,betweenness,11330,10%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.5,betweenness,28325,25%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.5,betweenness,28325,25%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.6000000000000001,betweenness,5665,5%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.6000000000000001,betweenness,5665,5%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.6000000000000001,betweenness,11330,10%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.6000000000000001,betweenness,11330,10%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.6000000000000001,betweenness,28325,25%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.6000000000000001,betweenness,28325,25%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.7000000000000001,betweenness,5665,5%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.7000000000000001,betweenness,5665,5%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.7000000000000001,betweenness,11330,10%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.7000000000000001,betweenness,11330,10%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.7000000000000001,betweenness,28325,25%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.7000000000000001,betweenness,28325,25%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.8,betweenness,5665,5%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.8,betweenness,5665,5%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.8,betweenness,11330,10%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.8,betweenness,11330,10%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.8,betweenness,28325,25%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.8,betweenness,28325,25%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.9,betweenness,5665,5%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.9,betweenness,5665,5%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.9,betweenness,11330,10%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.9,betweenness,11330,10%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.9,betweenness,28325,25%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.9,betweenness,28325,25%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.0,degree,5665,5%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.0,degree,5665,5%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.0,degree,11330,10%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.0,degree,11330,10%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.0,degree,28325,25%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.0,degree,28325,25%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.1,degree,5665,5%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.1,degree,5665,5%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.1,degree,11330,10%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.1,degree,11330,10%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.1,degree,28325,25%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.1,degree,28325,25%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.2,degree,5665,5%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.2,degree,5665,5%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.2,degree,11330,10%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.2,degree,11330,10%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.2,degree,28325,25%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.2,degree,28325,25%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.30000000000000004,degree,5665,5%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.30000000000000004,degree,5665,5%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.30000000000000004,degree,11330,10%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.30000000000000004,degree,11330,10%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.30000000000000004,degree,28325,25%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.30000000000000004,degree,28325,25%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.4,degree,5665,5%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.4,degree,5665,5%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.4,degree,11330,10%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.4,degree,11330,10%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.4,degree,28325,25%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.4,degree,28325,25%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.5,degree,5665,5%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.5,degree,5665,5%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.5,degree,11330,10%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.5,degree,11330,10%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.5,degree,28325,25%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.5,degree,28325,25%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.6000000000000001,degree,5665,5%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.6000000000000001,degree,5665,5%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.6000000000000001,degree,11330,10%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.6000000000000001,degree,11330,10%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.6000000000000001,degree,28325,25%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.6000000000000001,degree,28325,25%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.7000000000000001,degree,5665,5%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.7000000000000001,degree,5665,5%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.7000000000000001,degree,11330,10%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.7000000000000001,degree,11330,10%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.7000000000000001,degree,28325,25%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.7000000000000001,degree,28325,25%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.8,degree,5665,5%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.8,degree,5665,5%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.8,degree,11330,10%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.8,degree,11330,10%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.8,degree,28325,25%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.8,degree,28325,25%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.9,degree,5665,5%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.9,degree,5665,5%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.9,degree,11330,10%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.9,degree,11330,10%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.9,degree,28325,25%,IndependentCascadesModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.9,degree,28325,25%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.0,random,5665,5%,IndependentCascadesModel,38.3936%
0,./data/networks/12_5.txt,12,5,1133,0.0,random,5665,5%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.0,random,11330,10%,IndependentCascadesModel,38.3936%
0,./data/networks/12_5.txt,12,5,1133,0.0,random,11330,10%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.0,random,28325,25%,IndependentCascadesModel,38.3936%
0,./data/networks/12_5.txt,12,5,1133,0.0,random,28325,25%,LinearThresholdModel,100.0000%
0,./data/networks/12_5.txt,12,5,1133,0.1,random,5665,5%,IndependentCascadesModel,65.2251%
0,./data/networks/12_5.txt,12,5,1133,0.1,random,5665,5%,LinearThresholdModel,99.1174%
0,./data/networks/12_5.txt,12,5,1133,0.1,random,11330,10%,IndependentCascadesModel,65.2251%
0,./data/networks/12_5.txt,12,5,1133,0.1,random,11330,10%,LinearThresholdModel,99.1174%
0,./data/networks/12_5.txt,12,5,1133,0.1,random,28325,25%,IndependentCascadesModel,65.2251%
0,./data/networks/12_5.txt,12,5,1133,0.1,random,28325,25%,LinearThresholdModel,99.1174%
0,./data/networks/12_5.txt,12,5,1133,0.2,random,5665,5%,IndependentCascadesModel,78.3760%
0,./data/networks/12_5.txt,12,5,1133,0.2,random,5665,5%,LinearThresholdModel,97.3522%
0,./data/networks/12_5.txt,12,5,1133,0.2,random,11330,10%,IndependentCascadesModel,78.3760%
0,./data/networks/12_5.txt,12,5,1133,0.2,random,11330,10%,LinearThresholdModel,97.3522%
0,./data/networks/12_5.txt,12,5,1133,0.2,random,28325,25%,IndependentCascadesModel,78.3760%
0,./data/networks/12_5.txt,12,5,1133,0.2,random,28325,25%,LinearThresholdModel,97.3522%
0,./data/networks/12_5.txt,12,5,1133,0.30000000000000004,random,5665,5%,IndependentCascadesModel,86.9373%
0,./data/networks/12_5.txt,12,5,1133,0.30000000000000004,random,5665,5%,LinearThresholdModel,86.0547%
0,./data/networks/12_5.txt,12,5,1133,0.30000000000000004,random,11330,10%,IndependentCascadesModel,86.9373%
0,./data/networks/12_5.txt,12,5,1133,0.30000000000000004,random,11330,10%,LinearThresholdModel,86.0547%
0,./data/networks/12_5.txt,12,5,1133,0.30000000000000004,random,28325,25%,IndependentCascadesModel,86.9373%
0,./data/networks/12_5.txt,12,5,1133,0.30000000000000004,random,28325,25%,LinearThresholdModel,86.0547%
0,./data/networks/12_5.txt,12,5,1133,0.4,random,5665,5%,IndependentCascadesModel,91.3504%
0,./data/networks/12_5.txt,12,5,1133,0.4,random,5665,5%,LinearThresholdModel,43.8658%
0,./data/networks/12_5.txt,12,5,1133,0.4,random,11330,10%,IndependentCascadesModel,91.3504%
0,./data/networks/12_5.txt,12,5,1133,0.4,random,11330,10%,LinearThresholdModel,43.8658%
0,./data/networks/12_5.txt,12,5,1133,0.4,random,28325,25%,IndependentCascadesModel,91.3504%
0,./data/networks/12_5.txt,12,5,1133,0.4,random,28325,25%,LinearThresholdModel,43.8658%
0,./data/networks/12_5.txt,12,5,1133,0.5,random,5665,5%,IndependentCascadesModel,93.5569%
0,./data/networks/12_5.txt,12,5,1133,0.5,random,5665,5%,LinearThresholdModel,41.0415%
0,./data/networks/12_5.txt,12,5,1133,0.5,random,11330,10%,IndependentCascadesModel,93.5569%
0,./data/networks/12_5.txt,12,5,1133,0.5,random,11330,10%,LinearThresholdModel,41.0415%
0,./data/networks/12_5.txt,12,5,1133,0.5,random,28325,25%,IndependentCascadesModel,93.5569%
0,./data/networks/12_5.txt,12,5,1133,0.5,random,28325,25%,LinearThresholdModel,41.0415%
0,./data/networks/12_5.txt,12,5,1133,0.6000000000000001,random,5665,5%,IndependentCascadesModel,95.4104%
0,./data/networks/12_5.txt,12,5,1133,0.6000000000000001,random,5665,5%,LinearThresholdModel,40.1589%
0,./data/networks/12_5.txt,12,5,1133,0.6000000000000001,random,11330,10%,IndependentCascadesModel,95.4104%
0,./data/networks/12_5.txt,12,5,1133,0.6000000000000001,random,11330,10%,LinearThresholdModel,40.1589%
0,./data/networks/12_5.txt,12,5,1133,0.6000000000000001,random,28325,25%,IndependentCascadesModel,95.4104%
0,./data/networks/12_5.txt,12,5,1133,0.6000000000000001,random,28325,25%,LinearThresholdModel,40.1589%
0,./data/networks/12_5.txt,12,5,1133,0.7000000000000001,random,5665,5%,IndependentCascadesModel,96.9109%
0,./data/networks/12_5.txt,12,5,1133,0.7000000000000001,random,5665,5%,LinearThresholdModel,39.5410%
0,./data/networks/12_5.txt,12,5,1133,0.7000000000000001,random,11330,10%,IndependentCascadesModel,96.9109%
0,./data/networks/12_5.txt,12,5,1133,0.7000000000000001,random,11330,10%,LinearThresholdModel,39.5410%
0,./data/networks/12_5.txt,12,5,1133,0.7000000000000001,random,28325,25%,IndependentCascadesModel,96.9109%
0,./data/networks/12_5.txt,12,5,1133,0.7000000000000001,random,28325,25%,LinearThresholdModel,39.5410%
0,./data/networks/12_5.txt,12,5,1133,0.8,random,5665,5%,IndependentCascadesModel,97.9700%
0,./data/networks/12_5.txt,12,5,1133,0.8,random,5665,5%,LinearThresholdModel,39.1880%
0,./data/networks/12_5.txt,12,5,1133,0.8,random,11330,10%,IndependentCascadesModel,97.9700%
0,./data/networks/12_5.txt,12,5,1133,0.8,random,11330,10%,LinearThresholdModel,39.1880%
0,./data/networks/12_5.txt,12,5,1133,0.8,random,28325,25%,IndependentCascadesModel,97.9700%
0,./data/networks/12_5.txt,12,5,1133,0.8,random,28325,25%,LinearThresholdModel,39.1880%
0,./data/networks/12_5.txt,12,5,1133,0.9,random,5665,5%,IndependentCascadesModel,99.3822%
0,./data/networks/12_5.txt,12,5,1133,0.9,random,5665,5%,LinearThresholdModel,38.6584%
0,./data/networks/12_5.txt,12,5,1133,0.9,random,11330,10%,IndependentCascadesModel,99.3822%
0,./data/networks/12_5.txt,12,5,1133,0.9,random,11330,10%,LinearThresholdModel,38.6584%
0,./data/networks/12_5.txt,12,5,1133,0.9,random,28325,25%,IndependentCascadesModel,99.3822%
0,./data/networks/12_5.txt,12,5,1133,0.9,random,28325,25%,LinearThresholdModel,38.6584%
